First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL
,,,,TX,,11209 PLAUDIT,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26379,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,7516 LINKMEADOW ST,San Antonio,TX,78240,Notice of Foreclosure / Mortgage,NOFC,,26380,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5330 SOUTHAMPTON DR,San Antonio,TX,78228,Notice of Foreclosure / Mortgage,NOFC,,26381,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,6039 LITTLE BRANDYWINE,San Antonio,TX,78233,Notice of Foreclosure / Mortgage,NOFC,,26382,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,16318 ELK GLEN ST,San Antonio,TX,78247,Notice of Foreclosure / Mortgage,NOFC,,26383,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,11231 KEMBLE ST,San Antonio,TX,78249,Notice of Foreclosure / Mortgage,NOFC,,26384,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,7538 SUTTER HOME,San Antonio,TX,78253,Notice of Foreclosure / Mortgage,NOFC,,26385,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,6719 RAINTREE FRST,San Antonio,TX,78233,Notice of Foreclosure / Mortgage,NOFC,,26386,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,4827 BLUE HERON ST,San Antonio,TX,78217,Notice of Foreclosure / Mortgage,NOFC,,26387,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,822 VENICE ST,San Antonio,TX,78201,Notice of Foreclosure / Mortgage,NOFC,,26388,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,639 WESTFALL AVE,San Antonio,TX,78310,Notice of Foreclosure / Mortgage,NOFC,,26389,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10031 INK WELLS DR,San Antonio,TX,78250,Notice of Foreclosure / Mortgage,NOFC,,26390,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,130 BALSA DI PRATO,San Antonio,TX,78253,Notice of Foreclosure / Mortgage,NOFC,,26391,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,6210 MYRTLE PASS,San Antonio,TX,78222,Notice of Foreclosure / Mortgage,NOFC,,26392,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,7818 WILD EAGLE RD,San Antonio,TX,78255,Notice of Foreclosure / Mortgage,NOFC,,26393,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5115 FLIPPER DR,San Antonio,TX,78238,Notice of Foreclosure / Mortgage,NOFC,,26394,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,7818 FARLIN PARK DRIVE,San Antonio,TX,78249,Notice of Foreclosure / Mortgage,NOFC,,26395,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5210 ANEMONE,San Antonio,TX,78253,Notice of Foreclosure / Mortgage,NOFC,,26396,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,12130 PEASE RIVER,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26397,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,2119 FORT SUMTER STREET,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26398,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,623 DAKOTA ST,San Antonio,TX,78202,Notice of Foreclosure / Mortgage,NOFC,,26399,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,1303 KLONDIKE ST,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26400,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,9822 AUTUMN DAWN,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26401,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,8906 ANDERSON BLF,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26402,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,9614 AUTUMN PL,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26403,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,3609 SNOWBIRD,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26404,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10543 WAVERUNNER,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26405,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,8868 STAGHORN ML,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26406,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10822 FOX TROT WAY,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26407,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,8434 DUSTY RIDGE,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26408,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10954 DELIGHT GROVE,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26409,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,4322 RED TOP HL,San Antonio,TX,78112,Notice of Foreclosure / Mortgage,NOFC,,26410,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,17503 JUAN CANTU DR,San Antonio,TX,78112,Notice of Foreclosure / Mortgage,NOFC,,26411,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,3907 ANAQUA DR,San Antonio,TX,78112,Notice of Foreclosure / Mortgage,NOFC,,26412,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,4102 WATERWOOD PASS DR,San Antonio,TX,78112,Notice of Foreclosure / Mortgage,NOFC,,26413,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10935 WINECUP FLD,San Antonio,TX,78023,Notice of Foreclosure / Mortgage,NOFC,,26414,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,11729 PEACH CROSSING,San Antonio,TX,78023,Notice of Foreclosure / Mortgage,NOFC,,26415,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10018 CEDAR CREST DR,San Antonio,TX,78023,Notice of Foreclosure / Mortgage,NOFC,,26416,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,11222 OCATE,San Antonio,TX,78023,Notice of Foreclosure / Mortgage,NOFC,,26417,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,147 EL CERRITO CIRCLE,San Antonio,TX,78232,Notice of Foreclosure / Mortgage,NOFC,,26418,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5230 ALAN BEAN DRIVE,San Antonio,TX,78219,Notice of Foreclosure / Mortgage,NOFC,,26419,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,7405 LEADING OAKS ST,San Antonio,TX,78233,Notice of Foreclosure / Mortgage,NOFC,,26420,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5306 LISA POINT,San Antonio,TX,78152,Notice of Foreclosure / Mortgage,NOFC,,26421,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,427 BLUEGRASS CRK,San Antonio,TX,78253,Notice of Foreclosure / Mortgage,NOFC,,26422,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,15822 MISSION RDG,San Antonio,TX,78232,Notice of Foreclosure / Mortgage,NOFC,,26423,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,418 ELLANA CLAIRE ST,San Antonio,TX,78225,Notice of Foreclosure / Mortgage,NOFC,,26424,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,4126 WARM WINDS,San Antonio,TX,78253,Notice of Foreclosure / Mortgage,NOFC,,26425,0.0,45,Pre-foreclosure,Bexar County GIS,
